,SBD,Toan,Ngu van,Ngoai ngu,Vat ly,Hoa hoc,Sinh hoc,Lich su,Dia ly,GDCD
217,05000220,4.40,7.75,3.20,,,,4.50,5.00,8.00
218,05000221,5.80,6.75,7.80,4.50,3.25,5.50,,,
219,05000222,8.00,5.50,5.40,8.75,8.75,2.75,,,
220,05000223,5.20,6.50,3.20,5.25,6.50,5.50,,,
221,05000225,4.20,5.25,3.00,,,,2.75,5.75,6.50
222,05000226,3.40,7.50,4.80,,,,3.50,5.00,7.50
223,05000227,2.60,6.50,1.80,,,,3.25,5.00,7.25
224,05000228,4.00,6.50,3.60,,,,3.50,5.25,7.25
225,05000229,2.60,6.50,2.80,,,,3.00,5.00,9.00
226,05000230,3.00,8.00,4.80,,,,6.75,6.00,6.00
227,05000231,5.00,7.00,3.00,,,,3.50,5.75,7.75
228,05000232,4.00,3.75,5.20,4.00,4.75,4.00,,,
229,05000233,9.80,8.50,9.80,,,,2.00,4.00,5.50
230,05000234,,5.50,,,,,3.75,4.00,
231,05000235,4.80,8.00,,,,,7.75,,
232,05000236,5.20,5.00,5.00,5.25,2.75,3.00,,,
233,05000237,2.40,5.75,,,,,2.25,3.00,
234,05000238,4.80,6.50,6.20,,,,4.00,6.25,7.00
235,05000239,4.00,8.00,3.20,,,,4.75,6.50,5.75
236,05000240,,9.00,,,,,6.75,7.50,6.50
237,05000241,6.60,4.00,4.00,5.75,6.50,3.00,,,
238,05000242,7.00,5.75,4.20,6.50,5.75,7.00,,,
239,05000243,4.40,8.50,3.20,,,,2.75,5.00,7.00
240,05000244,5.40,8.00,8.20,,,,3.25,5.75,6.25
241,05000245,3.40,5.25,3.20,,,,2.75,3.00,5.25
242,05000246,2.40,2.25,1.60,,,,4.00,3.75,5.75
243,05000247,6.80,7.75,3.40,5.75,5.00,3.25,,,
244,05000248,4.40,6.50,3.60,,,,5.00,7.50,8.00
245,05000249,6.80,6.25,4.60,6.75,6.75,7.50,,,
246,05000250,5.80,5.50,3.60,6.00,4.75,4.50,,,
247,05000251,3.60,6.00,2.40,,,,5.50,6.00,7.50
248,05000252,9.00,4.50,3.60,8.75,9.00,3.50,,,
249,05000253,7.00,4.75,6.00,5.50,3.75,4.75,,,
250,05000254,3.80,5.75,4.40,,,,5.25,7.50,8.50
251,05000255,4.60,6.25,3.00,,,,4.50,6.50,8.00
252,05000256,1.80,3.75,2.00,,,,2.50,2.50,5.25
253,05000257,6.20,3.50,3.80,5.00,5.00,3.50,,,
254,05000258,3.80,7.75,2.20,,,,3.75,5.50,7.75
255,05000259,4.00,4.25,2.60,,,,4.25,6.25,7.50
256,05000260,5.80,6.00,3.00,5.00,5.75,2.75,,,
257,05000261,3.80,6.00,2.80,3.75,3.75,3.75,,,
258,05000262,3.40,7.50,3.60,,,,3.75,6.50,7.75
259,05000263,4.80,5.50,2.80,,,,3.50,7.00,8.00
260,05000264,3.40,7.50,3.20,4.00,2.75,2.75,2.50,6.00,6.50
261,05000265,6.60,7.75,5.00,,,,6.25,7.75,8.75
262,05000266,5.80,7.75,5.40,,,,3.75,7.00,8.75
263,05000267,3.60,7.50,2.40,,,,2.50,5.50,7.50
264,05000268,2.40,5.25,,,,,2.25,4.25,
265,05000269,3.00,6.00,,,,,2.00,4.00,
266,05000270,3.80,4.75,3.00,,,,4.75,4.75,7.25
267,05000271,9.40,7.50,10.00,,,,3.00,6.25,8.75
268,05000272,6.20,6.75,3.20,7.50,6.00,4.25,,,
269,05000273,3.40,6.50,2.20,,,,3.25,5.50,5.75
270,05000274,4.20,3.50,3.60,2.75,4.00,4.75,,,
271,05000275,4.80,6.50,4.20,,,,5.75,7.50,8.25
272,05000276,5.40,6.75,3.20,,,,3.75,6.50,7.50
273,05000277,3.80,7.00,3.40,,,,4.50,6.75,9.25
274,05000278,2.20,3.00,,,,,2.00,4.00,
275,05000279,2.80,3.50,,,,,2.25,,
276,05000280,6.80,4.50,2.80,6.25,5.50,4.25,,,
277,05000281,3.00,7.75,4.00,,,,3.50,5.50,7.00
278,05000282,5.40,5.75,2.40,5.25,4.50,3.50,,,
279,05000283,7.40,5.25,4.20,7.50,5.50,3.25,,,
280,05000284,9.40,3.00,3.00,9.75,9.25,2.25,,,
281,05000285,9.20,4.50,3.40,9.50,9.50,2.25,,,
282,05000286,3.20,1.50,,,,,3.25,3.25,
283,05000287,4.60,5.00,2.80,,,,4.00,6.50,8.00
284,05000288,9.00,6.25,9.00,9.00,3.00,4.00,,,
285,05000289,5.40,6.75,4.80,5.50,4.25,4.25,,,
286,05000290,4.80,8.00,4.80,,,,7.00,9.25,9.00
287,05000291,3.00,6.25,2.60,,,,4.25,6.00,6.75
288,05000292,3.20,7.00,2.40,,,,5.25,7.50,8.00
289,05000293,3.20,5.25,4.60,,,,3.25,7.25,6.50
290,05000294,8.60,,9.40,9.25,9.00,2.75,,,
291,05000295,7.60,6.75,5.80,7.75,7.25,6.00,,,
292,05000296,6.40,4.50,3.20,7.00,5.50,4.00,,,
293,05000297,8.00,3.25,8.80,6.75,3.75,4.00,,,
294,05000298,4.00,7.00,3.40,,,,5.00,6.75,7.25
295,05000299,7.40,5.25,4.80,6.75,6.50,4.00,,,
296,05000300,6.00,7.75,6.00,4.25,4.75,5.00,,,
297,05000301,4.60,7.25,2.00,,,,5.50,8.50,9.00
298,05000302,3.60,8.50,2.60,,,,9.00,9.00,2.75
299,05000303,4.00,6.25,3.60,,,,5.75,6.50,7.75
300,05000304,6.60,8.75,4.60,,,,4.00,5.25,6.25
301,05000305,9.20,7.00,9.40,,,,9.25,2.00,2.50
302,05000306,6.60,7.50,4.80,7.75,3.50,4.25,,,
303,05000307,3.60,7.50,3.20,,,,7.25,9.00,7.75
304,05000308,5.60,8.25,7.00,,,,2.75,6.50,7.25
305,05000309,5.60,6.00,2.80,,,,4.25,6.75,7.25
306,05000310,2.80,2.50,2.60,3.75,2.50,3.75,,,
307,05000311,3.00,7.00,1.60,5.00,3.75,5.25,,,
308,05000312,5.20,7.25,3.20,,,,6.25,7.75,9.50
309,05000313,2.20,,,2.25,2.00,,,,
310,05000314,4.40,5.00,5.40,,,,4.75,5.50,6.75
311,05000315,2.80,5.00,,,,,3.50,4.75,
312,05000316,3.00,8.25,3.60,,,,5.50,6.25,4.75
313,05000317,2.60,7.75,3.20,,,,3.50,5.25,6.50
314,05000318,5.60,9.00,6.00,,,,4.50,6.00,7.50
315,05000320,8.80,5.25,3.00,4.00,8.75,9.00,,,
316,05000321,8.60,6.00,4.00,9.00,8.75,3.50,,,
317,05000322,6.20,5.00,3.00,4.75,5.75,7.75,,,
318,05000323,3.00,3.50,,,,,2.75,2.50,
319,05000324,2.80,3.50,2.80,,,,4.50,6.00,5.25
320,05000325,3.60,3.50,2.00,,,,4.75,6.50,8.00
321,05000326,3.60,4.25,2.60,,,,4.25,7.25,6.25
322,05000328,5.60,3.50,,,,,4.25,,
323,05000329,1.20,5.50,2.80,,,,5.00,6.00,6.50
324,05000330,4.00,7.00,2.80,,,,5.00,6.00,8.25
325,05000331,4.60,7.50,2.80,,,,7.25,8.25,8.75
326,05000332,2.60,6.75,3.40,,,,5.50,7.50,9.25
327,05000333,2.40,4.00,,,,,3.75,,
328,05000334,6.20,7.50,3.40,7.50,7.25,5.75,,,
329,05000335,2.00,5.00,,,,,2.50,,
330,05000336,3.40,5.25,1.80,,,,4.75,5.25,6.00
331,05000337,5.20,8.50,5.00,,,,6.50,8.00,9.50
332,05000338,3.00,6.50,,,,,4.25,5.25,
333,05000339,4.40,6.75,3.20,,,,4.25,6.00,7.75
334,05000340,3.20,6.00,3.00,,,,4.00,5.25,5.75
335,05000341,8.20,4.25,9.80,9.25,3.50,1.50,,,
336,05000342,4.60,3.75,2.60,4.50,2.75,3.75,,,
337,05000343,7.40,4.25,3.40,5.25,5.75,3.00,,,
338,05000344,6.40,4.00,3.60,6.00,5.00,4.25,,,
339,05000345,6.40,6.25,5.80,2.50,3.25,3.25,,,
340,05000346,5.80,5.50,3.60,5.75,4.25,3.00,,,
341,05000347,6.00,4.75,2.60,6.25,6.25,2.75,,,
342,05000348,5.40,6.75,,,,,7.25,,
343,05000349,2.40,6.50,,,,,4.25,,
344,05000350,3.60,5.50,,,,,3.00,,
345,05000351,5.60,6.75,3.60,5.75,7.75,4.50,,,
346,05000352,4.80,2.50,2.40,4.75,7.00,6.75,,,
347,05000353,1.60,5.75,4.20,,,,3.25,5.75,7.75
348,05000354,2.60,3.50,4.00,,,,3.00,3.50,6.50
349,05000355,7.20,4.00,2.80,6.00,4.75,6.75,,,
350,05000356,2.20,3.75,2.00,,,,3.25,4.00,7.00
351,05000357,7.00,6.25,5.60,5.75,3.25,3.25,,,
352,05000358,3.60,8.00,3.20,,,,2.00,4.75,7.00
353,05000359,5.00,5.00,2.60,4.75,4.50,3.00,,,
354,05000360,9.40,6.25,9.80,9.50,,,,,
355,05000361,4.40,7.75,2.40,,,,5.75,7.75,8.25
